condition,n_features,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,brier,ece,elapsed_s
ALL_FEATURES,38,0.8319,0.0373,0.6785,0.0428,0.6755,0.0676,0.1145,11.1
DROP_amount_stats,31,0.8365,0.0373,0.6821,0.0499,0.6729,0.0684,0.1171,8.6
DROP_txn_type_mix,34,0.8272,0.0373,0.606,0.044,0.5842,0.0763,0.1112,8.8
DROP_temporal_patterns,34,0.8272,0.0396,0.6737,0.0464,0.6696,0.0696,0.1209,9.9
DROP_balance_dynamics,33,0.8299,0.0442,0.6723,0.0571,0.6648,0.0708,0.1241,8.0
DROP_fee_behaviour,35,0.83,0.0391,0.6743,0.045,0.6685,0.071,0.1225,7.7
DROP_behavioural_diversity,35,0.697,0.018,0.2344,0.0253,0.2232,0.1173,0.1418,7.6
DROP_activity_intensity,35,0.8324,0.0316,0.672,0.0387,0.661,0.0712,0.1248,8.6
DROP_loan_history,29,0.7867,0.038,0.6551,0.0491,0.6906,0.0714,0.1323,8.4
ONLY_amount_stats,7,0.5481,0.0411,0.1332,0.0147,0.0637,0.1546,0.2198,7.0
ONLY_txn_type_mix,4,0.6211,0.0169,0.1836,0.0152,0.1784,0.1395,0.1913,6.3
ONLY_temporal_patterns,4,0.4756,0.0311,0.1109,0.0113,0.0697,0.1725,0.2529,12.3
ONLY_balance_dynamics,5,0.6469,0.0194,0.1733,0.0157,0.1986,0.1457,0.1906,8.4
ONLY_fee_behaviour,3,0.489,0.0231,0.1095,0.005,0.017,0.2213,0.3372,5.7
ONLY_behavioural_diversity,3,0.7767,0.0421,0.4746,0.0697,0.5823,0.1051,0.1711,5.6
ONLY_activity_intensity,3,0.518,0.0339,0.126,0.0143,0.1365,0.1834,0.2701,5.6
ONLY_loan_history,9,0.6184,0.0222,0.1889,0.0261,0.2313,0.1533,0.2089,6.5
