model,target,fold,auc_roc,auc_pr,f1,precision,recall,accuracy,brier,ece
LogisticRegression,y_default,1.0,0.7973201755362991,0.5168119628853761,0.46616541353383456,0.3875,0.5849056603773585,0.85099685204617,0.13455007600534685,0.21348148757869112
LogisticRegression,y_default,2.0,0.8558722662618766,0.6984399553212937,0.5296167247386759,0.4175824175824176,0.7238095238095238,0.8581932773109243,0.1252912516750554,0.23163193568700824
LogisticRegression,y_default,3.0,0.8123243677238057,0.5282198399646748,0.5107913669064749,0.4127906976744186,0.6698113207547169,0.8571428571428571,0.1373442155683142,0.2353935051753281
LogisticRegression,y_default,4.0,0.8149114590302867,0.5733817798322766,0.4859154929577465,0.38764044943820225,0.6509433962264151,0.8466386554621849,0.13795800728430654,0.23293200999320315
LogisticRegression,y_default,5.0,0.8750501806503412,0.6726314109769911,0.5797101449275363,0.47058823529411764,0.7547169811320755,0.8781512605042017,0.12240131092432097,0.23160503824323445
XGBoost,y_default,1.0,0.7776280323450135,0.605100860406186,0.6257668711656442,0.8947368421052632,0.4811320754716981,0.9359916054564533,0.061214640736579895,0.04229022455396833
XGBoost,y_default,2.0,0.855636138753022,0.733099535954285,0.7386363636363636,0.9154929577464789,0.6190476190476191,0.9516806722689075,0.046535395085811615,0.03207658922706707
XGBoost,y_default,3.0,0.8004594317320131,0.6702696274749531,0.6666666666666666,0.8108108108108109,0.5660377358490566,0.9369747899159664,0.056231506168842316,0.053925779131593334
XGBoost,y_default,4.0,0.8174093402917169,0.6776436857148407,0.7126436781609196,0.9117647058823529,0.5849056603773585,0.9474789915966386,0.05362613499164581,0.04307965618487793
XGBoost,y_default,5.0,0.8405928007493644,0.6969755756177868,0.6741573033707865,0.8333333333333334,0.5660377358490566,0.9390756302521008,0.0541778989136219,0.030230018165463408
RandomForest,y_default,1.0,0.7816934352097302,0.6110998720367865,0.6086956521739131,0.8909090909090909,0.46226415094339623,0.9338929695697796,0.07060796358035874,0.09443305682874953
RandomForest,y_default,2.0,0.8608984089503569,0.7256331858499033,0.7142857142857143,0.9523809523809523,0.5714285714285714,0.9495798319327731,0.06555664765771874,0.12940665308721616
RandomForest,y_default,3.0,0.8103728979883135,0.6703246925770373,0.7052023121387283,0.9104477611940298,0.5754716981132075,0.9464285714285714,0.06922058483176792,0.12206805684735818
RandomForest,y_default,4.0,0.833032249431286,0.685219322502651,0.6746987951807228,0.9333333333333333,0.5283018867924528,0.9432773109243697,0.067028735241064,0.11168215036317898
RandomForest,y_default,5.0,0.8735447611401044,0.700009348762844,0.6746987951807228,0.9333333333333333,0.5283018867924528,0.9432773109243697,0.06576903184080081,0.11490981333452364
LightGBM,y_default,1.0,0.7501837784856652,0.5938626239416752,0.611764705882353,0.8125,0.49056603773584906,0.9307450157397692,0.0645902774278787,0.05268723000375045
LightGBM,y_default,2.0,0.8498004160341822,0.7208375650309647,0.7182320441988951,0.8552631578947368,0.6190476190476191,0.9464285714285714,0.04997838839979102,0.04046884333339938
