model,target,fold,auc_roc,auc_pr,f1,precision,recall,accuracy,brier,ece
LogisticRegression,y_default,1.0,0.7089,0.0920,0.1322,,,0.640389,0.219851,0.399024
LogisticRegression,y_default,2.0,0.7089,0.0920,0.1322,,,0.632639,0.220728,0.399722
LogisticRegression,y_default,3.0,0.7089,0.0920,0.1322,,,0.646672,0.217946,0.395738
LogisticRegression,y_default,4.0,0.7089,0.0920,0.1322,,,0.639033,0.219208,0.397577
LogisticRegression,y_default,5.0,0.7089,0.0920,0.1322,,,0.636394,0.219289,0.398879
XGBoost,y_default,1.0,0.7303,0.1075,0.1566,,,0.748293,0.160650,0.298401
XGBoost,y_default,2.0,0.7303,0.1075,0.1566,,,0.744188,0.161468,0.296164
XGBoost,y_default,3.0,0.7303,0.1075,0.1566,,,0.750681,0.160498,0.292277
XGBoost,y_default,4.0,0.7303,0.1075,0.1566,,,0.744429,0.161903,0.297568
XGBoost,y_default,5.0,0.7303,0.1075,0.1566,,,0.746942,0.161267,0.298549
RandomForest,y_default,1.0,0.7275,0.1018,0.1599,,,0.798308,0.145348,0.294016
RandomForest,y_default,2.0,0.7275,0.1018,0.1599,,,0.792401,0.147366,0.294994
RandomForest,y_default,3.0,0.7275,0.1018,0.1599,,,0.794999,0.146385,0.291473
RandomForest,y_default,4.0,0.7275,0.1018,0.1599,,,0.800101,0.146275,0.294945
RandomForest,y_default,5.0,0.7275,0.1018,0.1599,,,0.796414,0.147634,0.298009
LightGBM,y_default,1.0,0.7292,0.1032,0.1566,,,0.749885,0.160648,0.299645
LightGBM,y_default,2.0,0.7292,0.1032,0.1566,,,0.742848,0.163834,0.300464
LightGBM,y_default,3.0,0.7292,0.1032,0.1566,,,0.749759,0.161037,0.295384
LightGBM,y_default,4.0,0.7292,0.1032,0.1566,,,0.742879,0.163226,0.301281
LightGBM,y_default,5.0,0.7292,0.1032,0.1566,,,0.746020,0.161556,0.299896
LSTM,y_default,1.0,0.7478,0.1070,0.1409,,,0.597663,0.214220,0.366497
LSTM,y_default,2.0,0.7478,0.1070,0.1409,,,0.618732,0.211299,0.357723
LSTM,y_default,3.0,0.7478,0.1070,0.1409,,,0.625435,0.217937,0.364548
LSTM,y_default,4.0,0.7478,0.1070,0.1409,,,0.624288,0.216290,0.363544
LSTM,y_default,5.0,0.7478,0.1070,0.1409,,,0.634635,0.215589,0.381709
GRU,y_default,1.0,0.7565,0.1160,0.1452,,,0.603904,0.222679,0.377479
GRU,y_default,2.0,0.7565,0.1160,0.1452,,,0.629037,0.216592,0.370422
GRU,y_default,3.0,0.7565,0.1160,0.1452,,,0.637289,0.211564,0.364938
GRU,y_default,4.0,0.7565,0.1160,0.1452,,,0.635933,0.213902,0.365554
GRU,y_default,5.0,0.7565,0.1160,0.1452,,,0.670074,0.200343,0.357313
