transaction_amount,transaction_type,time_of_day,is_first_time_recipient,urgency_indicator,amount_unusual_for_user,transaction_speed,agent_location_risk,transaction_region,unusual_hours_for_region,multiple_quick_attempts,session_duration_seconds,is_fraud,fraud_type
456.7642824,cash-in,night,1,0,0,immediate,low,different_region,0,0,107.1438024,0,legitimate
368.3854868,transfer,morning,0,0,0,normal,low,same_region,0,0,502.2742391,0,legitimate
96.75694459,cash-in,night,0,0,1,normal,low,same_region,0,0,9.565654981,0,legitimate
3997.056714,cash-out,afternoon,0,1,0,normal,medium,same_region,1,0,21.62526033,0,legitimate
122.6387822,cash-in,night,0,0,0,immediate,medium,different_region,1,0,937.7582416,0,legitimate
235.6101366,cash-in,afternoon,0,1,0,normal,low,same_region,0,0,152.1614446,0,legitimate
79.96993646,cash-in,night,0,0,0,normal,medium,same_region,0,0,233.8530652,0,legitimate
304.9577768,cash-in,night,1,0,1,immediate,high,different_region,0,1,18.23262948,1,legitimate
535.2894117,cash-in,morning,0,1,0,normal,medium,same_region,0,0,239.9396692,0,social_engineering
660.0272597,cash-in,afternoon,1,0,0,normal,medium,same_region,1,0,1040.817004,0,legitimate
1.561270062,cash-out,afternoon,0,0,1,normal,low,same_region,0,0,1399.126527,0,legitimate
82.37885687,cash-in,afternoon,1,0,0,immediate,medium,same_region,0,0,651.7521552,0,legitimate
290.4003621,transfer,afternoon,0,0,0,normal,medium,same_region,0,0,469.2652872,0,legitimate
201.9294771,cash-out,afternoon,0,0,1,normal,high,same_region,0,0,86.19993026,0,legitimate
108.4549383,cash-in,night,0,1,0,normal,low,same_region,0,0,271.3707035,0,legitimate
122.7426053,cash-out,night,0,1,0,immediate,medium,same_region,0,0,457.829477,0,legitimate
101.5267252,cash-in,night,0,1,1,normal,medium,same_region,0,0,342.406459,0,legitimate
219.4244585,transfer,morning,0,1,1,normal,medium,same_region,0,0,49.98284173,1,legitimate
37.98621446,cash-out,night,0,1,0,normal,high,same_region,0,0,338.8054091,0,legitimate
90.93670136,transfer,night,1,0,0,normal,high,same_region,1,0,230.6390501,1,legitimate
4033.736523,cash-in,night,0,0,1,normal,medium,same_region,0,0,3.75780371,0,legitimate
285.513028,transfer,afternoon,0,1,0,normal,high,same_region,1,0,94.8856853,0,legitimate
94.34836567,transfer,morning,0,0,0,normal,high,different_region,0,0,623.5617282,0,legitimate
324.847698,cash-in,afternoon,1,0,0,normal,medium,same_region,1,0,181.6623668,0,legitimate
14.27081532,cash-in,afternoon,0,1,0,normal,low,same_region,0,0,662.0199662,0,legitimate
397.3661284,cash-in,night,0,1,1,immediate,low,different_region,0,0,976.1440848,0,legitimate
24.24540137,transfer,afternoon,0,1,1,normal,medium,same_region,0,0,1756.70323,0,legitimate
89.53125003,transfer,morning,0,0,0,normal,low,same_region,0,1,299.1571201,0,legitimate
56.74813603,transfer,night,0,0,0,normal,low,same_region,0,0,396.2026722,0,legitimate
227.5411056,cash-in,morning,0,0,0,normal,high,same_region,0,0,221.6156148,0,legitimate
116.6040865,cash-in,morning,0,1,1,normal,low,same_region,0,0,1.188381875,0,legitimate
233.0528627,cash-in,night,0,0,0,normal,low,different_region,0,0,345.4640317,0,legitimate
235.9691753,cash-in,afternoon,1,0,0,normal,medium,same_region,1,0,428.2415575,0,legitimate
239.6189671,cash-in,afternoon,1,0,0,normal,high,same_region,0,0,251.848078,0,legitimate
541.4950243,cash-in,afternoon,0,0,1,normal,low,same_region,0,0,552.5653482,0,legitimate
966.7268761,cash-in,morning,0,0,0,normal,medium,same_region,0,0,492.980244,0,legitimate
414.7381888,cash-in,night,0,0,0,normal,low,same_region,0,0,312.733358,0,legitimate
321.2235051,cash-out,afternoon,0,0,0,normal,low,same_region,0,0,388.9984806,0,legitimate
181.2943435,cash-in,afternoon,0,0,0,normal,low,same_region,0,0,203.9212839,1,legitimate
436.4654091,cash-out,morning,0,0,0,normal,low,same_region,0,0,136.2143877,0,legitimate
81.52537648,cash-in,night,0,0,1,normal,medium,same_region,0,0,251.8518113,0,legitimate
253.376679,cash-in,night,0,0,0,normal,low,same_region,1,0,681.9032401,0,legitimate
110.2827306,cash-in,afternoon,0,1,0,normal,low,same_region,0,0,259.0836426,0,legitimate
307.4275246,cash-out,morning,0,0,0,normal,low,same_region,0,0,245.6771625,0,legitimate
78.45971996,cash-in,afternoon,0,1,0,normal,low,same_region,0,0,237.9766975,0,legitimate
273.390338,cash-in,afternoon,0,1,0,normal,low,same_region,0,0,262.2947695,0,legitimate
3895.371447,transfer,night,0,0,0,normal,low,different_region,0,0,213.2284505,0,legitimate
458.2725492,cash-out,morning,0,1,0,immediate,low,same_region,1,0,259.9393496,0,legitimate
47.4934727,cash-in,night,0,1,0,normal,low,same_region,0,0,556.4938935,0,legitimate
206.1724981,cash-in,morning,0,0,1,normal,high,same_region,0,0,396.2704342,0,legitimate
203.591956,transfer,morning,0,0,0,normal,low,same_region,0,0,240.0468903,0,legitimate
157.5501913,cash-out,morning,0,0,1,normal,low,same_region,1,0,293.5928173,1,legitimate
151.267851,transfer,night,0,1,0,normal,low,same_region,0,0,207.9915916,0,legitimate
94.39468947,cash-out,morning,1,0,0,immediate,low,same_region,0,0,158.7221008,0,legitimate
217.9736748,transfer,morning,0,0,0,immediate,medium,different_region,0,0,301.5806279,0,legitimate
535.2097028,cash-in,afternoon,1,0,1,normal,low,same_region,0,0,260.2280857,0,sim_swap
488.5387801,cash-in,afternoon,0,1,0,normal,low,same_region,1,0,342.3678779,0,legitimate
31.83563179,cash-in,morning,1,1,1,normal,medium,same_region,0,0,300.6429527,0,legitimate
131.9755469,transfer,morning,0,0,0,normal,low,same_region,0,0,271.3552764,0,legitimate
