user_id,obs_txn_count,total_volume,avg_transaction_amount,median_transaction_amount,std_transaction_amount,max_transaction_amount,min_transaction_amount,cv_transaction_amount,pct_transfers,pct_debits,pct_cashouts,pct_payments,avg_hours_between_txns,pct_weekend_txns,pct_night_txns,pct_early_morning_txns,avg_balance,min_balance,max_balance,balance_volatility,pct_low_balance_txns,total_fees_paid,avg_fees_per_txn,pct_txns_with_fees,unique_recipients,recipient_concentration,unique_txn_types,account_age_days,transactions_per_day
USER_000000,117.0,4179.881388647075,35.72548195424851,18.58,40.10259376271601,160.04215708421032,0.91,1.1225207210380816,0.48717948717948717,0.19658119658119658,0.008547008547008548,0.09401709401709402,2.5681703035680075,0.37606837606837606,0.03418803418803419,0.1282051282051282,125.04179487179489,5.0,221.99,50.55677540144389,0.017094017094017096,0.0,0.0,0.0,37.0,0.06837606837606838,8.0,12.0,9.75
USER_000001,94.0,3539.199267470493,37.65105603692014,16.835,45.18478652410248,192.8332678546392,7.105427357601002e-15,1.2000934709452733,0.425531914893617,0.2553191489361702,0.06382978723404255,0.10638297872340426,12.476473788001792,0.2765957446808511,0.031914893617021274,0.031914893617021274,121.3872340425532,53.01,289.3,59.88686382616711,0.0,0.0,0.0,0.0,29.0,0.0851063829787234,6.0,48.0,1.9583333333333333
USER_000002,90.0,2852.8613547002105,31.698459496669006,15.285,39.83567522821118,186.1757770825301,0.6389043495631554,1.256706977586632,0.4777777777777778,0.2222222222222222,0.03333333333333333,0.1111111111111111,9.723031706432584,0.26666666666666666,0.14444444444444443,0.07777777777777778,112.54155555555555,47.42,330.24,65.96798029740906,0.0,0.0,0.0,0.0,37.0,0.06666666666666667,6.0,36.0,2.5
USER_000003,91.0,4281.87395820848,47.05355998031297,29.56,49.42861854952735,197.8707981275309,1.4210854715202004e-14,1.0504756403172915,0.46153846153846156,0.2087912087912088,0.054945054945054944,0.08791208791208792,4.3442219301080245,0.27472527472527475,0.04395604395604396,0.01098901098901099,145.52615384615385,54.33,463.98,89.73642247987814,0.0,0.0,0.0,0.0,33.0,0.07692307692307693,6.0,16.0,5.6875
USER_000004,124.0,3256.2934021020556,26.26043066211335,14.335,37.899320650407326,199.52137710216635,1.21,1.4432101719141157,0.5403225806451613,0.20161290322580644,0.07258064516129033,0.0967741935483871,1.820669037066396,0.3629032258064516,0.33064516129032256,0.016129032258064516,153.6766129032258,34.04,495.4,106.40161541263384,0.0,0.0,0.0,0.0,42.0,0.06451612903225806,6.0,9.0,13.777777777777779
USER_000005,111.0,3362.4291382212728,30.292154398389844,13.02,42.00713068474786,243.95068434279656,0.5,1.386733017806773,0.45045045045045046,0.14414414414414414,0.04504504504504504,0.17117117117117117,12.465232128133838,0.2882882882882883,0.0,0.018018018018018018,159.6975675675676,76.26,367.05,64.87103882762275,0.0,0.0,0.0,0.0,39.0,0.07207207207207207,8.0,57.0,1.9473684210526316
USER_000006,95.0,2715.5473758287417,28.584709219249913,11.89,44.131479070094336,192.33743272830725,7.105427357601002e-15,1.5438841351016683,0.3473684210526316,0.2736842105263158,0.05263157894736842,0.21052631578947367,4.63369296248818,0.3263157894736842,0.12631578947368421,0.21052631578947367,121.28021052631578,8.55,239.05,54.31359067369879,0.010526315789473684,0.0,0.0,0.0,25.0,0.10526315789473684,8.0,18.0,5.277777777777778
USER_000007,104.0,2753.1420208757236,26.472519431497343,12.4,37.472418581685105,186.3848564692252,1.67,1.4155214307671804,0.5288461538461539,0.22115384615384615,0.0,0.125,19.507917230339803,0.2692307692307692,0.11538461538461539,0.019230769230769232,140.77615384615385,32.73,439.89,94.91715618612653,0.0,0.0,0.0,0.0,36.0,0.08653846153846154,7.0,83.0,1.2530120481927711
USER_000008,98.0,2158.9750897850445,22.030358059031066,10.34,34.73598956306797,196.41058790478564,0.2500776049643889,1.576732864259026,0.5510204081632653,0.24489795918367346,0.01020408163265306,0.1326530612244898,2.761778465724513,0.3163265306122449,0.01020408163265306,0.02040816326530612,205.7826530612245,72.82,590.4,136.27823343569077,0.0,1.33,0.013571428571428573,0.04081632653061224,35.0,0.08163265306122448,6.0,11.0,8.909090909090908
USER_000009,104.0,4003.138769027966,38.49171893296121,21.33,46.820875111199236,194.90841991477984,1.3286070721781584,1.2163882624401479,0.375,0.2980769230769231,0.0673076923076923,0.125,5.188118653255125,0.3076923076923077,0.0,0.0,171.35461538461536,94.86,289.77,54.919753832438865,0.0,0.0,0.0,0.0,29.0,0.09615384615384616,6.0,22.0,4.7272727272727275
USER_000010,106.0,4172.363566357741,39.361920437337176,20.67,47.817132952783965,185.14452440581456,1.4210854715202004e-14,1.2148069103718453,0.5,0.14150943396226415,0.009433962264150943,0.1320754716981132,4.933594057891534,0.3867924528301887,0.02830188679245283,0.04716981132075472,158.76009433962264,91.13,306.18,56.34208430472322,0.0,0.0,0.0,0.0,37.0,0.05660377358490566,8.0,21.0,5.0476190476190474
USER_000011,91.0,3021.367301190788,33.20183847462405,13.65,42.562494304157454,189.37043505826523,0.77,1.2819318525595411,0.37362637362637363,0.2967032967032967,0.01098901098901099,0.15384615384615385,7.64459295037037,0.2967032967032967,0.04395604395604396,0.15384615384615385,190.42164835164834,70.92,478.01,92.4793761304377,0.0,0.0,0.0,0.0,31.0,0.07692307692307693,8.0,28.0,3.25
USER_000012,99.0,2907.7771777659136,29.371486644100138,17.45,34.73370589976923,180.98659186119812,0.93,1.1825654697238894,0.5050505050505051,0.18181818181818182,0.020202020202020204,0.09090909090909091,2.3225566224461454,0.32323232323232326,0.10101010101010101,0.24242424242424243,159.4883838383838,36.91,472.1,99.30337875447766,0.0,0.0,0.0,0.0,36.0,0.0707070707070707,8.0,9.0,11.0
USER_000013,97.0,3088.8920180824234,31.84424760909715,17.33,41.188343346241254,180.01803297346365,0.2503291673344279,1.2934311983704938,0.35051546391752575,0.25773195876288657,0.05154639175257732,0.12371134020618557,5.368558934577547,0.27835051546391754,0.07216494845360824,0.09278350515463918,152.81268041237115,62.73,295.53,55.358945763750626,0.0,0.0,0.0,0.0,32.0,0.1134020618556701,8.0,21.0,4.619047619047619
USER_000014,99.0,3701.8238506593016,37.39216010766971,19.01,46.367585036531445,197.56,0.84,1.2400349405601934,0.41414141414141414,0.26262626262626265,0.04040404040404041,0.1111111111111111,8.924726002168367,0.2828282828282828,0.0707070707070707,0.10101010101010101,172.959797979798,47.0,542.67,80.04333504841647,0.0,5.7299999999999995,0.05787878787878788,0.050505050505050504,31.0,0.08080808080808081,8.0,36.0,2.75
USER_000015,114.0,3560.1089331199814,31.229025729122643,10.375,44.38759411724961,187.13131845212175,7.105427357601002e-15,1.4213569934029655,0.5263157894736842,0.21929824561403508,0.043859649122807015,0.09649122807017543,20.52970549932645,0.30701754385964913,0.08771929824561403,0.17543859649122806,126.17798245614036,49.0,294.34,60.005259949084554,0.0,0.0,0.0,0.0,36.0,0.13157894736842105,6.0,96.0,1.1875
USER_000016,97.0,3567.5271407334735,36.77863031683993,19.5,44.69881444605821,197.2725814947259,3.0351441426277503,1.2153474466283167,0.30927835051546393,0.30927835051546393,0.05154639175257732,0.1958762886597938,7.848990066753472,0.3917525773195876,0.05154639175257732,0.05154639175257732,141.99144329896905,58.87,359.14,72.9254489328784,0.0,0.0,0.0,0.0,30.0,0.08247422680412371,6.0,31.0,3.129032258064516
USER_000017,111.0,3530.8565696818987,31.80951864578287,12.73,44.42450771426203,193.37176147615617,0.66,1.3965790620397076,0.38738738738738737,0.2882882882882883,0.036036036036036036,0.14414414414414414,27.323768583707064,0.2882882882882883,0.09009009009009009,0.02702702702702703,176.40675675675678,81.28,505.75,80.35393813013842,0.0,0.0,0.0,0.0,34.0,0.06306306306306306,8.0,125.0,0.888
USER_000018,104.0,4709.186516285919,45.280639579672304,28.29,49.85346448345733,221.26051854258893,0.71,1.1009885228263845,0.41346153846153844,0.22115384615384615,0.07692307692307693,0.04807692307692308,4.907205556426645,0.33653846153846156,0.028846153846153848,0.0,178.16490384615386,91.97,521.08,89.58843270075145,0.0,2.61,0.025096153846153844,0.038461538461538464,35.0,0.07692307692307693,8.0,21.0,4.9523809523809526
USER_000019,96.0,3262.0178170030017,33.97935226044793,18.369999999999997,43.388681098250714,197.94944818270096,1.44,1.2769131314123157,0.5520833333333334,0.19791666666666666,0.03125,0.0625,5.43761049054386,0.2604166666666667,0.08333333333333333,0.010416666666666666,175.1853125,97.65,375.47,67.94708479789912,0.0,0.0,0.0,0.0,39.0,0.0625,8.0,21.0,4.571428571428571
USER_000020,109.0,3263.9429498824393,29.944430732866415,14.25074876381133,45.132305772770984,199.2035194946788,0.5,1.5072019961038918,0.42201834862385323,0.3119266055045872,0.06422018348623854,0.11009174311926606,14.408252296491769,0.3486238532110092,0.09174311926605505,0.22935779816513763,190.05798165137614,83.37,467.59,87.49786569650773,0.0,0.0,0.0,0.0,38.0,0.05504587155963303,6.0,64.0,1.703125
USER_000021,103.0,3644.932438826821,35.38769358084292,18.08,41.70401211811678,178.73700476847375,1.0174960629361325,1.1784891270985003,0.46601941747572817,0.22330097087378642,0.04854368932038835,0.06796116504854369,8.05197050918573,0.24271844660194175,0.009708737864077669,0.0,125.57349514563109,6.74,331.14,70.37191943187949,0.019417475728155338,0.0,0.0,0.0,38.0,0.07766990291262135,8.0,34.0,3.0294117647058822
USER_000022,98.0,2388.52294761535,24.372683138932143,10.469999999999999,35.2983388586168,190.33483403033293,1.83,1.448274638348388,0.5918367346938775,0.23469387755102042,0.01020408163265306,0.07142857142857142,12.158655619381443,0.336734693877551,0.0,0.05102040816326531,151.57765306122448,55.12,388.1,84.83418036589156,0.0,0.0,0.0,0.0,38.0,0.061224489795918366,6.0,49.0,2.0
