user_id,credit_archetype,loans_taken,credit_risk_label,final_credit_limit,gen_txn_count
USER_000000,responsible_borrower,4,0,122.0703125,117
USER_000001,non_borrower,0,-1,0.0,94
USER_000002,non_borrower,0,-1,0.0,90
USER_000003,non_borrower,0,-1,0.0,91
USER_000004,non_borrower,0,-1,0.0,124
USER_000005,risky_borrower,4,2,50.0,111
USER_000006,occasional_borrower,1,1,50.0,95
USER_000007,responsible_borrower,2,1,62.5,104
USER_000008,non_borrower,0,-1,0.0,98
USER_000009,non_borrower,0,-1,0.0,104
USER_000010,responsible_borrower,4,0,122.0703125,106
USER_000011,responsible_borrower,2,0,78.125,91
USER_000012,responsible_borrower,4,0,122.0703125,99
USER_000013,risky_borrower,4,1,50.0,97
USER_000014,responsible_borrower,3,0,97.65625,99
USER_000015,non_borrower,0,-1,0.0,114
USER_000016,non_borrower,0,-1,0.0,97
USER_000017,responsible_borrower,3,1,78.125,111
USER_000018,responsible_borrower,4,0,122.0703125,104
USER_000019,responsible_borrower,2,1,62.5,96
USER_000020,non_borrower,0,-1,0.0,109
USER_000021,responsible_borrower,2,0,78.125,103
USER_000022,non_borrower,0,-1,0.0,98
USER_000023,responsible_borrower,3,0,97.65625,119
USER_000024,non_borrower,0,-1,0.0,97
USER_000025,responsible_borrower,3,0,97.65625,120
USER_000026,responsible_borrower,4,0,122.0703125,101
USER_000027,responsible_borrower,4,1,97.65625,114
USER_000028,risky_borrower,4,2,50.0,104
USER_000029,responsible_borrower,2,0,78.125,114
USER_000030,responsible_borrower,4,0,122.0703125,117
USER_000031,non_borrower,0,-1,0.0,111
USER_000032,responsible_borrower,4,1,97.65625,119
USER_000033,non_borrower,0,-1,0.0,98
USER_000034,responsible_borrower,3,0,97.65625,110
USER_000035,responsible_borrower,3,1,78.125,100
USER_000036,responsible_borrower,3,0,97.65625,94
USER_000037,non_borrower,0,-1,0.0,93
USER_000038,non_borrower,0,-1,0.0,93
USER_000039,responsible_borrower,2,0,78.125,101
USER_000040,non_borrower,0,-1,0.0,99
USER_000041,non_borrower,0,-1,0.0,96
USER_000042,responsible_borrower,4,0,122.0703125,111
USER_000043,risky_borrower,2,2,50.0,106
USER_000044,occasional_borrower,1,1,50.0,102
USER_000045,responsible_borrower,4,0,122.0703125,118
USER_000046,responsible_borrower,3,0,97.65625,99
USER_000047,non_borrower,0,-1,0.0,101
USER_000048,non_borrower,0,-1,0.0,99
USER_000049,non_borrower,0,-1,0.0,106
USER_000050,non_borrower,0,-1,0.0,95
USER_000051,non_borrower,0,-1,0.0,86
USER_000052,non_borrower,0,-1,0.0,107
USER_000053,responsible_borrower,3,0,97.65625,94
USER_000054,occasional_borrower,1,1,50.0,95
USER_000055,non_borrower,0,-1,0.0,92
USER_000056,occasional_borrower,2,0,78.125,90
USER_000057,non_borrower,0,-1,0.0,89
USER_000058,responsible_borrower,3,0,97.65625,110
USER_000059,non_borrower,0,-1,0.0,94
USER_000060,responsible_borrower,2,0,78.125,104
USER_000061,non_borrower,0,-1,0.0,103
USER_000062,responsible_borrower,2,0,78.125,107
USER_000063,non_borrower,0,-1,0.0,106
USER_000064,non_borrower,0,-1,0.0,109
USER_000065,occasional_borrower,1,0,62.5,111
USER_000066,non_borrower,0,-1,0.0,93
USER_000067,non_borrower,0,-1,0.0,92
USER_000068,non_borrower,0,-1,0.0,91
USER_000069,responsible_borrower,3,0,97.65625,107
USER_000070,non_borrower,0,-1,0.0,121
USER_000071,non_borrower,0,-1,0.0,103
USER_000072,non_borrower,0,-1,0.0,105
USER_000073,responsible_borrower,4,1,97.65625,92
USER_000074,non_borrower,0,-1,0.0,86
USER_000075,occasional_borrower,1,0,62.5,104
USER_000076,non_borrower,0,-1,0.0,111
USER_000077,responsible_borrower,2,0,78.125,110
USER_000078,responsible_borrower,3,1,78.125,107
USER_000079,non_borrower,0,-1,0.0,103
USER_000080,responsible_borrower,2,0,78.125,120
USER_000081,non_borrower,0,-1,0.0,100
USER_000082,non_borrower,0,-1,0.0,110
USER_000083,non_borrower,0,-1,0.0,94
USER_000084,responsible_borrower,4,0,122.0703125,94
USER_000085,responsible_borrower,2,1,62.5,108
USER_000086,responsible_borrower,4,0,122.0703125,96
USER_000087,non_borrower,0,-1,0.0,91
USER_000088,non_borrower,0,-1,0.0,82
USER_000089,occasional_borrower,2,1,62.5,104
USER_000090,non_borrower,0,-1,0.0,104
USER_000091,non_borrower,0,-1,0.0,103
USER_000092,occasional_borrower,1,0,62.5,124
USER_000093,responsible_borrower,2,0,78.125,108
USER_000094,non_borrower,0,-1,0.0,96
USER_000095,responsible_borrower,3,1,78.125,84
USER_000096,responsible_borrower,3,1,78.125,120
USER_000097,responsible_borrower,2,0,78.125,116
USER_000098,non_borrower,0,-1,0.0,95
USER_000099,occasional_borrower,2,0,78.125,108
USER_000100,non_borrower,0,-1,0.0,99
USER_000101,occasional_borrower,2,0,78.125,128
USER_000102,non_borrower,0,-1,0.0,113
USER_000103,occasional_borrower,2,1,62.5,92
USER_000104,responsible_borrower,4,1,97.65625,123
USER_000105,responsible_borrower,3,0,97.65625,112
USER_000106,non_borrower,0,-1,0.0,110
USER_000107,occasional_borrower,1,0,62.5,107
USER_000108,responsible_borrower,2,0,78.125,83
USER_000109,responsible_borrower,2,0,78.125,117
USER_000110,responsible_borrower,4,0,122.0703125,94
USER_000111,non_borrower,0,-1,0.0,97
USER_000112,responsible_borrower,2,0,78.125,104
USER_000113,responsible_borrower,3,0,97.65625,97
USER_000114,non_borrower,0,-1,0.0,84
USER_000115,non_borrower,0,-1,0.0,103
USER_000116,non_borrower,0,-1,0.0,98
USER_000117,non_borrower,0,-1,0.0,91
USER_000118,responsible_borrower,3,0,97.65625,120
USER_000119,defaulter,1,2,50.0,99
USER_000120,responsible_borrower,4,0,122.0703125,116
USER_000121,responsible_borrower,2,0,78.125,82
USER_000122,non_borrower,0,-1,0.0,91
USER_000123,non_borrower,0,-1,0.0,95
USER_000124,non_borrower,0,-1,0.0,94
USER_000125,non_borrower,0,-1,0.0,109
USER_000126,responsible_borrower,4,1,97.65625,102
USER_000127,non_borrower,0,-1,0.0,80
USER_000128,risky_borrower,1,2,50.0,104
USER_000129,non_borrower,0,-1,0.0,90
USER_000130,responsible_borrower,3,1,78.125,119
USER_000131,occasional_borrower,2,0,78.125,103
USER_000132,non_borrower,0,-1,0.0,95
USER_000133,responsible_borrower,3,0,97.65625,101
USER_000134,occasional_borrower,1,1,50.0,107
USER_000135,risky_borrower,1,2,50.0,114
USER_000136,non_borrower,0,-1,0.0,101
USER_000137,non_borrower,0,-1,0.0,112
USER_000138,responsible_borrower,3,0,97.65625,121
USER_000139,responsible_borrower,3,0,97.65625,112
USER_000140,non_borrower,0,-1,0.0,112
USER_000141,non_borrower,0,-1,0.0,98
USER_000142,responsible_borrower,3,0,97.65625,117
USER_000143,non_borrower,0,-1,0.0,120
USER_000144,risky_borrower,4,2,50.0,105
USER_000145,responsible_borrower,4,0,122.0703125,107
USER_000146,occasional_borrower,2,1,62.5,108
USER_000147,responsible_borrower,2,0,78.125,102
USER_000148,non_borrower,0,-1,0.0,109
USER_000149,non_borrower,0,-1,0.0,105
USER_000150,non_borrower,0,-1,0.0,96
USER_000151,defaulter,1,2,50.0,103
USER_000152,responsible_borrower,4,0,122.0703125,107
USER_000153,non_borrower,0,-1,0.0,94
USER_000154,non_borrower,0,-1,0.0,82
USER_000155,non_borrower,0,-1,0.0,107
USER_000156,responsible_borrower,2,0,78.125,105
USER_000157,non_borrower,0,-1,0.0,108
USER_000158,responsible_borrower,3,1,78.125,91
USER_000159,non_borrower,0,-1,0.0,98
USER_000160,risky_borrower,6,1,50.0,95
USER_000161,non_borrower,0,-1,0.0,106
USER_000162,non_borrower,0,-1,0.0,100
USER_000163,non_borrower,0,-1,0.0,103
USER_000164,non_borrower,0,-1,0.0,101
USER_000165,responsible_borrower,3,1,78.125,111
USER_000166,responsible_borrower,4,1,97.65625,123
USER_000167,responsible_borrower,4,0,122.0703125,105
USER_000168,non_borrower,0,-1,0.0,126
USER_000169,responsible_borrower,3,0,97.65625,92
USER_000170,responsible_borrower,3,0,97.65625,122
USER_000171,responsible_borrower,4,0,122.0703125,103
USER_000172,non_borrower,0,-1,0.0,96
USER_000173,responsible_borrower,4,1,78.125,93
USER_000174,non_borrower,0,-1,0.0,105
USER_000175,responsible_borrower,4,1,62.5,100
USER_000176,responsible_borrower,2,0,78.125,110
USER_000177,risky_borrower,2,2,50.0,117
USER_000178,responsible_borrower,4,1,97.65625,106
USER_000179,risky_borrower,4,2,50.0,110
USER_000180,non_borrower,0,-1,0.0,81
USER_000181,non_borrower,0,-1,0.0,88
USER_000182,occasional_borrower,1,0,62.5,99
USER_000183,responsible_borrower,3,1,78.125,109
USER_000184,responsible_borrower,2,1,62.5,109
USER_000185,responsible_borrower,2,0,78.125,122
USER_000186,non_borrower,0,-1,0.0,107
USER_000187,responsible_borrower,4,1,78.125,107
USER_000188,non_borrower,0,-1,0.0,98
USER_000189,responsible_borrower,4,0,122.0703125,119
USER_000190,non_borrower,0,-1,0.0,97
USER_000191,non_borrower,0,-1,0.0,108
USER_000192,responsible_borrower,3,0,97.65625,101
USER_000193,non_borrower,0,-1,0.0,100
USER_000194,responsible_borrower,2,0,78.125,109
USER_000195,responsible_borrower,2,1,62.5,94
USER_000196,risky_borrower,4,1,50.0,102
USER_000197,risky_borrower,4,1,50.0,115
USER_000198,responsible_borrower,2,0,78.125,102
USER_000199,non_borrower,0,-1,0.0,114
USER_000200,non_borrower,0,-1,0.0,97
USER_000201,responsible_borrower,3,1,78.125,99
USER_000202,defaulter,1,2,50.0,118
USER_000203,non_borrower,0,-1,0.0,108
USER_000204,responsible_borrower,3,0,97.65625,99
USER_000205,responsible_borrower,4,1,97.65625,103
USER_000206,non_borrower,0,-1,0.0,82
USER_000207,responsible_borrower,3,1,78.125,103
USER_000208,non_borrower,0,-1,0.0,106
USER_000209,responsible_borrower,3,1,78.125,126
USER_000210,responsible_borrower,2,0,78.125,106
USER_000211,occasional_borrower,2,1,62.5,107
USER_000212,risky_borrower,6,1,50.0,86
USER_000213,non_borrower,0,-1,0.0,112
USER_000214,responsible_borrower,4,0,122.0703125,111
USER_000215,responsible_borrower,2,1,62.5,104
USER_000216,responsible_borrower,4,1,97.65625,121
USER_000217,non_borrower,0,-1,0.0,129
USER_000218,non_borrower,0,-1,0.0,90
USER_000219,non_borrower,0,-1,0.0,88
USER_000220,responsible_borrower,4,1,97.65625,109
USER_000221,responsible_borrower,4,0,122.0703125,104
USER_000222,non_borrower,0,-1,0.0,92
USER_000223,non_borrower,0,-1,0.0,101
USER_000224,non_borrower,0,-1,0.0,122
USER_000225,responsible_borrower,4,0,122.0703125,121
USER_000226,responsible_borrower,2,0,78.125,125
USER_000227,responsible_borrower,3,0,97.65625,98
USER_000228,non_borrower,0,-1,0.0,104
USER_000229,non_borrower,0,-1,0.0,105
USER_000230,non_borrower,0,-1,0.0,101
USER_000231,non_borrower,0,-1,0.0,100
USER_000232,non_borrower,0,-1,0.0,86
USER_000233,non_borrower,0,-1,0.0,106
USER_000234,non_borrower,0,-1,0.0,91
USER_000235,occasional_borrower,1,0,62.5,103
USER_000236,risky_borrower,5,2,50.0,107
USER_000237,non_borrower,0,-1,0.0,106
USER_000238,responsible_borrower,3,0,97.65625,105
USER_000239,risky_borrower,5,1,50.0,103
USER_000240,responsible_borrower,3,0,97.65625,115
USER_000241,responsible_borrower,4,0,122.0703125,104
USER_000242,responsible_borrower,3,0,97.65625,101
USER_000243,non_borrower,0,-1,0.0,97
USER_000244,non_borrower,0,-1,0.0,125
USER_000245,occasional_borrower,1,1,50.0,102
